M:StockSharp.Algo.History.Forex.MBTradingHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime,System.DateTime)/param/from;DocStr129
M:StockSharp.Algo.History.Forex.MBTradingHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime,System.DateTime)/param/to;DocStr130
M:StockSharp.Algo.History.Forex.MBTradingHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime,System.DateTime)/returns;DocStr119
T:StockSharp.Algo.History.Forex.TrueFXHistorySource/summary;DocStr132
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.#ctor(StockSharp.Algo.Storages.INativeIdStorage,StockSharp.Algo.Storages.IExchangeInfoProvider)/summary;DocStr1
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.#ctor(StockSharp.Algo.Storages.INativeIdStorage,StockSharp.Algo.Storages.IExchangeInfoProvider)/param/nativeIdStorage;DocStr9329
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.#ctor(StockSharp.Algo.Storages.INativeIdStorage,StockSharp.Algo.Storages.IExchangeInfoProvider)/param/exchangeInfoProvider;DocStr9509
P:StockSharp.Algo.History.Forex.TrueFXHistorySource.Login/summary;Login
P:StockSharp.Algo.History.Forex.TrueFXHistorySource.Password/summary;Password
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/summary;DocStr109
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/securityStorage;DocStr110
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/criteria;DocStr111
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/newSecurity;DocStr112
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.Refresh(StockSharp.Algo.Storages.ISecurityStorage,StockSharp.BusinessEntities.Security,System.Action{StockSharp.BusinessEntities.Security},System.Func{System.Boolean})/param/isCancelled;DocStr113
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/summary;DocStr102
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/param/security;DocStr2831
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/param/from;Str2282
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/param/to;Str418
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/param/dataType;Str2133
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/param/arg;Str347
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.GetDumpFile(StockSharp.BusinessEntities.Security,System.DateTime,System.DateTime,System.Type,System.Object)/returns;DocStr103
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/summary;DocStr128
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/param/security;DocStr2831
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/param/date;Date
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.LoadTicks(StockSharp.BusinessEntities.Security,System.DateTime)/returns;DocStr119
M:StockSharp.Algo.History.Forex.TrueFXHistorySource.LoadTickMessages(StockSharp.Messages.SecurityId,System.DateTime)/summary;DocStr128
